epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,70.2642,0.70412,0.9618,0.93905,0.95695,0.9641,0.98612,0.82996,0.66166,0.71189,0.92976,0.00179705,0.00179705,0.00179705
43,71.8636,0.69692,0.99235,0.94414,0.95551,0.99136,0.99291,0.84431,0.61644,0.69024,0.91027,0.0017921,0.0017921,0.0017921
44,73.4526,0.67593,0.92769,0.90292,0.95551,0.99136,0.99291,0.84431,0.61644,0.69024,0.91027,0.00178715,0.00178715,0.00178715
45,74.8818,0.65891,0.91591,0.89424,0.98686,0.96923,0.9942,0.85846,0.61266,0.62717,0.90972,0.0017822,0.0017822,0.0017822
46,76.2815,0.64974,0.91059,0.91074,0.98686,0.96923,0.9942,0.85846,0.61266,0.62717,0.90972,0.00177725,0.00177725,0.00177725
47,77.7288,0.64972,0.87452,0.89981,0.98409,0.98462,0.99449,0.86039,0.59038,0.57143,0.90338,0.0017723,0.0017723,0.0017723
48,79.3351,0.59531,0.81241,0.89815,0.98409,0.98462,0.99449,0.86039,0.59038,0.57143,0.90338,0.00176735,0.00176735,0.00176735
49,80.813,0.61146,0.81693,0.90649,0.9827,0.99487,0.99438,0.86756,0.55594,0.55907,0.89253,0.0017624,0.0017624,0.0017624
50,82.3289,0.61923,0.87245,0.88872,0.9827,0.99487,0.99438,0.86756,0.55594,0.55907,0.89253,0.00175745,0.00175745,0.00175745
51,83.8891,0.65659,0.81629,0.89289,0.9798,0.9952,0.99428,0.87182,0.55848,0.54557,0.89396,0.0017525,0.0017525,0.0017525
52,85.3115,0.6355,0.85355,0.90947,0.9798,0.9952,0.99428,0.87182,0.55848,0.54557,0.89396,0.00174755,0.00174755,0.00174755
53,86.7616,0.60524,0.79963,0.87966,0.97828,0.99487,0.99423,0.86788,0.57604,0.52955,0.89788,0.0017426,0.0017426,0.0017426
54,88.1778,0.61787,0.82006,0.89431,0.97828,0.99487,0.99423,0.86788,0.57604,0.52955,0.89788,0.00173765,0.00173765,0.00173765
55,89.7138,0.59816,0.76777,0.88091,0.9745,0.97981,0.99388,0.86871,0.56498,0.53343,0.89163,0.0017327,0.0017327,0.0017327
56,91.093,0.5637,0.73717,0.87849,0.9745,0.97981,0.99388,0.86871,0.56498,0.53343,0.89163,0.00172775,0.00172775,0.00172775
57,92.5343,0.54786,0.7411,0.88379,0.98363,0.98462,0.99399,0.86877,0.55676,0.52008,0.88992,0.0017228,0.0017228,0.0017228
58,94.0116,0.57133,0.74226,0.88139,0.98363,0.98462,0.99399,0.86877,0.55676,0.52008,0.88992,0.00171785,0.00171785,0.00171785
59,95.5986,0.58133,0.75684,0.86921,0.97968,0.98885,0.99424,0.86809,0.56693,0.50006,0.89488,0.0017129,0.0017129,0.0017129
60,96.9905,0.56888,0.72712,0.89802,0.97968,0.98885,0.99424,0.86809,0.56693,0.50006,0.89488,0.00170795,0.00170795,0.00170795
61,98.584,0.62884,0.74841,0.88699,0.9857,0.97949,0.99429,0.87019,0.548,0.49768,0.88748,0.001703,0.001703,0.001703
62,100.136,0.58454,0.74499,0.90061,0.9857,0.97949,0.99429,0.87019,0.548,0.49768,0.88748,0.00169805,0.00169805,0.00169805
63,101.726,0.60205,0.72971,0.9165,0.99645,0.95897,0.99322,0.87112,0.56388,0.53185,0.89152,0.0016931,0.0016931,0.0016931
64,103.143,0.61715,0.73238,0.89855,0.99645,0.95897,0.99322,0.87112,0.56388,0.53185,0.89152,0.00168815,0.00168815,0.00168815
65,104.573,0.56932,0.70993,0.89354,0.97253,0.97949,0.99319,0.87154,0.54564,0.52369,0.8858,0.0016832,0.0016832,0.0016832
66,106.098,0.5614,0.7011,0.87312,0.97253,0.97949,0.99319,0.87154,0.54564,0.52369,0.8858,0.00167825,0.00167825,0.00167825
67,107.586,0.58688,0.69191,0.88248,0.97462,0.99487,0.99439,0.87796,0.53072,0.46341,0.88286,0.0016733,0.0016733,0.0016733
68,109.053,0.60711,0.70059,0.88896,0.97462,0.99487,0.99439,0.87796,0.53072,0.46341,0.88286,0.00166835,0.00166835,0.00166835
69,110.531,0.58216,0.67427,0.87905,0.99826,0.99487,0.995,0.87789,0.53289,0.44486,0.88358,0.0016634,0.0016634,0.0016634
70,112.062,0.58236,0.67374,0.88431,0.99826,0.99487,0.995,0.87789,0.53289,0.44486,0.88358,0.00165845,0.00165845,0.00165845
71,113.475,0.55396,0.65802,0.8924,1,0.98723,0.9948,0.88601,0.52525,0.44534,0.87914,0.0016535,0.0016535,0.0016535
72,114.888,0.56465,0.66531,0.86651,1,0.98723,0.9948,0.88601,0.52525,0.44534,0.87914,0.00164855,0.00164855,0.00164855
73,116.387,0.55532,0.65973,0.86581,1,0.95727,0.99345,0.8768,0.5247,0.4526,0.87907,0.0016436,0.0016436,0.0016436
74,117.761,0.55133,0.65487,0.86446,1,0.95727,0.99345,0.8768,0.5247,0.4526,0.87907,0.00163865,0.00163865,0.00163865
75,119.188,0.53284,0.64329,0.8752,1,0.95294,0.99118,0.87648,0.51389,0.4836,0.87798,0.0016337,0.0016337,0.0016337
76,120.713,0.55784,0.64562,0.86318,1,0.95294,0.99118,0.87648,0.51389,0.4836,0.87798,0.00162875,0.00162875,0.00162875
77,122.274,0.53115,0.58825,0.84888,0.99914,0.95385,0.98349,0.88,0.50563,0.48543,0.87381,0.0016238,0.0016238,0.0016238
78,123.662,0.56032,0.61338,0.85606,0.99914,0.95385,0.98349,0.88,0.50563,0.48543,0.87381,0.00161885,0.00161885,0.00161885
79,125.061,0.52829,0.62356,0.84681,1,0.9846,0.99456,0.88112,0.50933,0.45137,0.87344,0.0016139,0.0016139,0.0016139
80,126.442,0.52895,0.60536,0.85429,1,0.9846,0.99456,0.88112,0.50933,0.45137,0.87344,0.00160895,0.00160895,0.00160895
81,128.044,0.55763,0.62805,0.85855,1,0.99237,0.995,0.89187,0.49404,0.42403,0.86763,0.001604,0.001604,0.001604
