epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,72.033,0.62188,0.86257,0.93739,0.98788,0.97949,0.9935,0.85715,0.56614,0.58342,0.90005,0.0014588,0.0014588,0.0014588
43,73.8211,0.6117,0.8976,0.92222,0.96826,0.98974,0.99367,0.84677,0.60197,0.59255,0.92468,0.0014456,0.0014456,0.0014456
44,75.6099,0.63156,0.91561,0.93211,0.96826,0.98974,0.99367,0.84677,0.60197,0.59255,0.92468,0.0014324,0.0014324,0.0014324
45,77.4038,0.5906,0.86562,0.89548,1,0.95351,0.98165,0.84325,0.60193,0.5884,0.93229,0.0014192,0.0014192,0.0014192
46,79.08,0.56222,0.83682,0.90449,1,0.95351,0.98165,0.84325,0.60193,0.5884,0.93229,0.001406,0.001406,0.001406
47,80.7608,0.58925,0.80855,0.8997,0.99093,0.96923,0.99162,0.85612,0.56038,0.56899,0.90711,0.0013928,0.0013928,0.0013928
48,82.5988,0.56728,0.7837,0.91903,0.99093,0.96923,0.99162,0.85612,0.56038,0.56899,0.90711,0.0013796,0.0013796,0.0013796
49,84.268,0.56733,0.79192,0.89319,0.98451,0.98462,0.99422,0.872,0.53316,0.55262,0.88859,0.0013664,0.0013664,0.0013664
50,86.0477,0.56997,0.79596,0.89359,0.98451,0.98462,0.99422,0.872,0.53316,0.55262,0.88859,0.0013532,0.0013532,0.0013532
51,87.826,0.57196,0.7601,0.86994,0.9894,0.98462,0.99408,0.87468,0.53704,0.52947,0.88768,0.00134,0.00134,0.00134
52,89.5935,0.58817,0.79737,0.91855,0.9894,0.98462,0.99408,0.87468,0.53704,0.52947,0.88768,0.0013268,0.0013268,0.0013268
53,91.3561,0.55928,0.76922,0.88969,0.97938,0.97413,0.98751,0.8783,0.53251,0.56483,0.88586,0.0013136,0.0013136,0.0013136
54,92.777,0.57434,0.83601,0.90311,0.97938,0.97413,0.98751,0.8783,0.53251,0.56483,0.88586,0.0013004,0.0013004,0.0013004
55,94.3923,0.54911,0.7813,0.8825,0.97966,0.98793,0.9927,0.8761,0.53183,0.50816,0.88749,0.0012872,0.0012872,0.0012872
56,95.9358,0.54284,0.72611,0.87937,0.97966,0.98793,0.9927,0.8761,0.53183,0.50816,0.88749,0.001274,0.001274,0.001274
57,97.512,0.53018,0.71786,0.8969,0.97984,0.99702,0.99184,0.86384,0.53783,0.48784,0.8903,0.0012608,0.0012608,0.0012608
58,99.0669,0.56821,0.74937,0.90063,0.97984,0.99702,0.99184,0.86384,0.53783,0.48784,0.8903,0.0012476,0.0012476,0.0012476
59,100.616,0.56071,0.71662,0.89396,0.98484,1,0.99161,0.87676,0.51053,0.48534,0.87845,0.0012344,0.0012344,0.0012344
60,102.077,0.51912,0.72151,0.90697,0.98484,1,0.99161,0.87676,0.51053,0.48534,0.87845,0.0012212,0.0012212,0.0012212
61,103.452,0.55199,0.72932,0.87111,0.97967,1,0.99203,0.87891,0.50742,0.45516,0.87779,0.001208,0.001208,0.001208
62,104.968,0.52692,0.69831,0.89745,0.97967,1,0.99203,0.87891,0.50742,0.45516,0.87779,0.0011948,0.0011948,0.0011948
63,106.443,0.55417,0.70478,0.89913,0.98907,0.99487,0.99438,0.88718,0.5179,0.44722,0.87604,0.0011816,0.0011816,0.0011816
64,107.957,0.56992,0.7204,0.88284,0.98907,0.99487,0.99438,0.88718,0.5179,0.44722,0.87604,0.0011684,0.0011684,0.0011684
