epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,77.832,0.69123,0.81775,0.92132,0.98974,0.98958,0.99241,0.83295,0.63734,0.71954,0.92591,0.0017294,0.0017294,0.0017294
43,79.6432,0.66104,0.83653,0.89923,0.98483,0.99885,0.9916,0.87092,0.56877,0.63692,0.89054,0.0017228,0.0017228,0.0017228
44,81.5292,0.60919,0.77329,0.89365,0.98483,0.99885,0.9916,0.87092,0.56877,0.63692,0.89054,0.0017162,0.0017162,0.0017162
45,83.4159,0.69235,0.87299,0.94155,0.98979,0.99452,0.99275,0.84919,0.62907,0.58958,0.91409,0.0017096,0.0017096,0.0017096
46,85.2861,0.74272,0.76992,0.94072,0.98982,0.99769,0.99382,0.86163,0.59465,0.56869,0.89977,0.001703,0.001703,0.001703
47,87.2093,0.66418,0.7954,0.90488,0.98982,0.99769,0.99382,0.86163,0.59465,0.56869,0.89977,0.0016964,0.0016964,0.0016964
48,89.1547,0.63707,0.79514,0.89142,0.9943,0.98974,0.99425,0.82609,0.68817,0.61392,0.94466,0.0016898,0.0016898,0.0016898
49,90.9938,0.68854,0.7635,0.90439,0.9943,0.98974,0.99425,0.82609,0.68817,0.61392,0.94466,0.0016832,0.0016832,0.0016832
50,92.908,0.67033,0.79554,0.9216,0.99489,0.99871,0.99429,0.83992,0.65451,0.63584,0.92793,0.0016766,0.0016766,0.0016766
51,94.7612,0.64976,0.77134,0.90631,0.98722,0.98974,0.99459,0.86821,0.57299,0.55911,0.89226,0.00167,0.00167,0.00167
52,96.5755,0.59365,0.69292,0.86912,0.98722,0.98974,0.99459,0.86821,0.57299,0.55911,0.89226,0.0016634,0.0016634,0.0016634
53,98.4154,0.58244,0.70745,0.86538,0.99283,0.97949,0.9942,0.84805,0.59756,0.5402,0.90347,0.0016568,0.0016568,0.0016568
