epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.2643,0.66617,1.01054,0.90413,0.99484,0.98888,0.9929,0.86417,0.57273,0.68697,0.89634,0.0009176,0.0009176,0.0009176
43,72.8804,0.62962,0.92156,0.89384,0.9882,0.99487,0.99297,0.86563,0.54679,0.64992,0.8876,0.0008912,0.0008912,0.0008912
44,74.4627,0.61482,0.88421,0.90264,0.9882,0.99487,0.99297,0.86563,0.54679,0.64992,0.8876,0.0008648,0.0008648,0.0008648
45,76.1952,0.60168,0.90771,0.89808,0.98887,0.99487,0.99382,0.88219,0.51865,0.61309,0.87552,0.0008384,0.0008384,0.0008384
46,77.8522,0.58639,0.80893,0.87826,0.98887,0.99487,0.99382,0.88219,0.51865,0.61309,0.87552,0.000812,0.000812,0.000812
47,79.6559,0.61678,0.78442,0.88925,0.98903,0.99487,0.99433,0.87718,0.52329,0.5887,0.87756,0.0007856,0.0007856,0.0007856
48,81.3549,0.56842,0.78533,0.86788,0.98903,0.99487,0.99433,0.87718,0.52329,0.5887,0.87756,0.0007592,0.0007592,0.0007592
49,83.0763,0.62628,0.89912,0.91024,0.98971,1,0.99479,0.8792,0.51554,0.57487,0.87445,0.0007328,0.0007328,0.0007328
50,84.7166,0.56281,0.78828,0.87087,0.98971,1,0.99479,0.8792,0.51554,0.57487,0.87445,0.0007064,0.0007064,0.0007064
51,86.5223,0.57698,0.78673,0.87853,0.98926,1,0.9948,0.88275,0.50678,0.54899,0.87119,0.00068,0.00068,0.00068
52,88.0952,0.57915,0.73667,0.85985,0.98926,1,0.9948,0.88275,0.50678,0.54899,0.87119,0.0006536,0.0006536,0.0006536
53,89.7319,0.58894,0.81104,0.89824,0.99489,0.99886,0.9949,0.87792,0.5208,0.53818,0.8773,0.0006272,0.0006272,0.0006272
54,91.3487,0.57469,0.72307,0.87039,0.99489,0.99886,0.9949,0.87792,0.5208,0.53818,0.8773,0.0006008,0.0006008,0.0006008
55,93.1359,0.56932,0.80088,0.88815,0.99409,1,0.995,0.88949,0.49854,0.52428,0.86831,0.0005744,0.0005744,0.0005744
56,94.8848,0.55093,0.72191,0.87718,0.99409,1,0.995,0.88949,0.49854,0.52428,0.86831,0.000548,0.000548,0.000548
57,96.5359,0.57204,0.77958,0.88929,1,0.99474,0.995,0.89062,0.49965,0.51732,0.86682,0.0005216,0.0005216,0.0005216
58,98.2939,0.55429,0.78798,0.88964,1,0.99474,0.995,0.89062,0.49965,0.51732,0.86682,0.0004952,0.0004952,0.0004952
59,100.216,0.55153,0.71366,0.86696,1,0.99723,0.995,0.88883,0.48969,0.51149,0.86326,0.0004688,0.0004688,0.0004688
60,101.922,0.57566,0.70049,0.8915,1,0.99723,0.995,0.88883,0.48969,0.51149,0.86326,0.0004424,0.0004424,0.0004424
61,103.498,0.53947,0.74448,0.86627,1,0.99418,0.995,0.88737,0.47538,0.50289,0.85966,0.000416,0.000416,0.000416
62,105.179,0.55392,0.68693,0.8667,1,0.99418,0.995,0.88737,0.47538,0.50289,0.85966,0.0003896,0.0003896,0.0003896
63,106.839,0.53941,0.74683,0.8822,0.99456,1,0.99495,0.88986,0.46906,0.49607,0.85952,0.0003632,0.0003632,0.0003632
64,108.493,0.54348,0.73676,0.87185,0.99456,1,0.99495,0.88986,0.46906,0.49607,0.85952,0.0003368,0.0003368,0.0003368
65,110.293,0.51064,0.6731,0.85834,0.99589,0.99487,0.995,0.8915,0.46831,0.48931,0.85968,0.0003104,0.0003104,0.0003104
66,130.927,0.5196,0.86874,0.86656,0.99589,0.99487,0.995,0.8915,0.46831,0.48931,0.85968,0.000284,0.000284,0.000284
67,132.557,0.50884,0.80837,0.87017,1,0.99773,0.995,0.89533,0.46907,0.48842,0.85992,0.0002576,0.0002576,0.0002576
68,134.16,0.49098,0.80913,0.85489,1,0.99773,0.995,0.89533,0.46907,0.48842,0.85992,0.0002312,0.0002312,0.0002312
69,136.047,0.49825,0.81832,0.86696,1,0.99432,0.995,0.89248,0.46647,0.4887,0.85837,0.0002048,0.0002048,0.0002048
70,137.796,0.50634,0.81377,0.85324,1,0.99432,0.995,0.89248,0.46647,0.4887,0.85837,0.0001784,0.0001784,0.0001784
71,139.49,0.52495,0.85443,0.86052,1,0.99482,0.995,0.89785,0.46316,0.49322,0.85698,0.000152,0.000152,0.000152
72,141.292,0.49861,0.81173,0.86496,1,0.99482,0.995,0.89785,0.46316,0.49322,0.85698,0.0001256,0.0001256,0.0001256
73,143.059,0.49947,0.83613,0.85849,1,0.99763,0.995,0.89715,0.45869,0.49449,0.85573,9.92e-05,9.92e-05,9.92e-05
74,144.623,0.49544,0.79445,0.86405,1,0.99763,0.995,0.89715,0.45869,0.49449,0.85573,7.28e-05,7.28e-05,7.28e-05
75,146.348,0.48825,0.79657,0.83229,1,0.99783,0.995,0.89887,0.45522,0.49134,0.85536,4.64e-05,4.64e-05,4.64e-05
